sequence,position,username,responded_on,value
survey_loc_adjusted,46,chipmunk,2024-07-05 15:14:29.248863,A
survey_loc_adjusted,46,jackal,2024-07-08 20:47:43.206330,U
survey_loc_adjusted,46,wildcat,2024-07-05 20:51:58.635265,A
survey_loc_adjusted,47,chipmunk,2024-07-05 15:14:58.327246,B
survey_loc_adjusted,47,jackal,2024-07-08 20:47:52.801879,A
survey_loc_adjusted,47,wildcat,2024-07-05 20:52:46.470066,A
survey_loc_adjusted,48,chipmunk,2024-07-05 15:15:06.980898,B
survey_loc_adjusted,48,jackal,2024-07-08 20:48:55.598375,U
survey_loc_adjusted,48,wildcat,2024-07-05 20:53:49.801917,U
survey_loc_adjusted,49,chipmunk,2024-07-05 15:15:17.790787,A
survey_loc_adjusted,49,jackal,2024-07-08 20:49:13.869274,U
survey_loc_adjusted,49,wildcat,2024-07-05 20:54:15.402215,U
survey_loc_adjusted,50,chipmunk,2024-07-05 15:16:06.638882,B
survey_loc_adjusted,50,wildcat,2024-07-05 20:55:20.721820,U
testset2,0,admin,2024-07-18 07:25:39.798041,U
testset2,0,chipmunk,2024-07-18 13:50:50.525490,SB
testset2,1,admin,2024-07-18 07:25:56.255099,U
testset2,1,chipmunk,2024-07-18 13:55:24.910786,WB
testset2,2,admin,2024-07-18 07:36:18.166282,U
testset2,2,chipmunk,2024-07-18 13:55:54.739842,SA
testset2,3,admin,2024-07-18 07:36:20.207103,SA
testset2,3,chipmunk,2024-07-18 13:56:30.183443,WB
testset2,4,admin,2024-07-18 07:36:22.054533,WA
testset2,4,chipmunk,2024-07-18 13:57:22.196394,WA
testset2,5,admin,2024-07-18 07:36:23.724497,E
testset2,5,chipmunk,2024-07-18 13:57:46.563860,E
testset2,6,admin,2024-07-18 07:36:25.440215,WB
testset2,6,chipmunk,2024-07-18 14:05:15.558790,E
testset2,7,admin,2024-07-18 07:36:29.918545,SB
testset2,7,chipmunk,2024-07-18 14:05:32.092804,WA
testset2,8,admin,2024-07-18 07:36:31.403790,U
testset2,8,chipmunk,2024-07-18 14:05:51.703881,WA
testset2,9,chipmunk,2024-07-18 14:07:20.933099,WB
testset2,10,chipmunk,2024-07-18 14:08:39.021302,WA
testset2,11,chipmunk,2024-07-18 14:08:53.064693,E
testset2,12,chipmunk,2024-07-18 14:10:57.686208,U
testset2,13,chipmunk,2024-07-18 14:11:25.533525,E
testset2,14,chipmunk,2024-07-18 14:12:00.900609,WB
testset2,15,chipmunk,2024-07-18 14:13:29.236551,WB
testset2,16,chipmunk,2024-07-18 14:14:10.308610,WA
testset2,17,chipmunk,2024-07-18 14:14:52.328069,E
testset2,18,chipmunk,2024-07-18 14:15:34.599217,E
testset2,19,chipmunk,2024-07-18 14:15:50.218992,E
testset2,20,chipmunk,2024-07-18 14:20:57.447954,E
testset2,21,chipmunk,2024-07-18 14:21:18.442838,WB
testset2,22,chipmunk,2024-07-18 14:21:46.690147,E
testset2,23,chipmunk,2024-07-18 14:22:21.669419,WA
testset2,24,chipmunk,2024-07-18 14:23:01.836922,WB
testset2,25,chipmunk,2024-07-18 14:24:29.009126,WB
